spatial	broader
https://d-nb.info/gnd/4054887-9	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4109995-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4054887-9	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4031416-9	https://rpb.lobid.org/spatial#n4031416n9
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4045462-9	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/143317822	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4109995-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4108577-2	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4064074-7	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4055608-6	https://rpb.lobid.org/spatial#n19
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4430777-9	https://rpb.lobid.org/spatial#n30
https://d-nb.info/gnd/4031416-9	https://rpb.lobid.org/spatial#n4031416n9
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4554879-1	https://rpb.lobid.org/spatial#n4554879n1
https://d-nb.info/gnd/4095533-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4031415-7	https://rpb.lobid.org/spatial#n4031415n7
https://d-nb.info/gnd/4038114-6	https://rpb.lobid.org/spatial#n4038114n6
https://d-nb.info/gnd/4101050-4	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4430777-9	https://rpb.lobid.org/spatial#n30
https://d-nb.info/gnd/4377902-5	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4430777-9	https://rpb.lobid.org/spatial#n30
https://d-nb.info/gnd/4101050-4	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4001823-4	https://rpb.lobid.org/spatial#n30
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4108738-0	https://rpb.lobid.org/spatial#n4108738n0
https://d-nb.info/gnd/4264313-2	https://rpb.lobid.org/spatial#n24
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4039705-1	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4126432-0	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4060880-3	https://rpb.lobid.org/spatial#n4060880n3
https://d-nb.info/gnd/4490539-7	https://rpb.lobid.org/spatial#n11
https://d-nb.info/gnd/4107291-1	https://rpb.lobid.org/spatial#n19
https://d-nb.info/gnd/4055608-6	https://rpb.lobid.org/spatial#n19
https://d-nb.info/gnd/4026464-6	https://rpb.lobid.org/spatial#n19
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4110084-0	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4417112-2	https://rpb.lobid.org/spatial#n01
https://d-nb.info/gnd/4105499-4	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4051098-0	https://rpb.lobid.org/spatial#n19
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4666501-8	https://rpb.lobid.org/spatial#n20
https://d-nb.info/gnd/4109995-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4221819-6	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4548284-6	https://rpb.lobid.org/spatial#n4548284n6
https://d-nb.info/gnd/4102956-2	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4548284-6	https://rpb.lobid.org/spatial#n4548284n6
https://d-nb.info/gnd/4119314-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4766893-3	https://rpb.lobid.org/spatial#n49
https://d-nb.info/gnd/4119314-3	https://rpb.lobid.org/spatial#n10
https://d-nb.info/gnd/4548284-6	https://rpb.lobid.org/spatial#n4548284n6
https://d-nb.info/gnd/4031416-9	https://rpb.lobid.org/spatial#n4031416n9
https://d-nb.info/gnd/4329692-0	https://rpb.lobid.org/spatial#n11
https://d-nb.info/gnd/4101050-4	https://rpb.lobid.org/spatial#n22
https://d-nb.info/gnd/4031415-7	https://rpb.lobid.org/spatial#n4031415n7
https://d-nb.info/gnd/4766893-3	https://rpb.lobid.org/spatial#n49
