rppdId	preferredName
ps01163	Bergthold, Christian
ps01164	Beringer von Eutringen
ps01174	Bernhardt, Dieter
ps01176	Beroldingen, Joseph Ignaz
ps01245	Boas, Horst
ps01363	Bub, Friedrich
ps01367	Buchheit, Hans
ps01382	Buhl, Franz-Peter
ps01388	Burckhardt, Johann Philipp
ps01395	Burkhard, Käthe
ps01403	Butters, Immanuel Friedrich
ps01406	Balther
ps01409	Frick, Hedwig
ps01410	Brecht, Els
ps01411	Glatzel, Barbara
ps01412	Hubera, Ann
ps01414	Rühling, Max
ps01415	Ross, Karin
ps01416	Harling, Anita
ps01417	Kämpfe, Hermann Franz Joseph Hubertus Maria
ps01418	Breidenborn, Edle ¬von¬
ps01419	Caesarius von Heisterbach
ps01422	Caire, Carl
ps01423	Calles-Storr, Ilse
ps01424	Storr, Ilse
ps01427	Camerarius, Philipp
ps01429	Candidus, August
ps01430	Candidus, Pantaleon
ps01438	Caspar
ps01441	Catty, Johann Bernhard
ps01449	Christ, Franz Xaver
ps01450	Christian I. Herzog v. Birkenfeld-Bischweiler
ps01452	Christian / Pfalz-Zweibrücken, Herzog, III.
ps01462	Clauß, Emilie
ps01246	Tragus
ps01249	Böckel, Matthias
ps01252	Boege, Uta
ps01254	Böhn, Georg Friedrich
ps01255	Böhmer, Christian
ps01257	Boell, Anemone
ps01260	Börner, Fritz
ps01295	Bouschen, Franziska
ps01299	Brandenburg, Hans-Christian
ps01302	Brandt, Heinrich Carl
ps01303	Brandusescu-Serban, Delia
ps01305	Braster, Ludwig
ps01312	Braun, Josef
ps01314	Braun, Karl Otto
ps01315	Braun, Manfred
ps01317	Brauner, August
ps01318	Braunsdorf, Gisela
ps01322	Bredhauer, Anneliese
ps01323	Breinig, Ludwig
ps01324	Breith
ps01325	Breith, Gustav
ps01327	Bremer, Werner
ps01328	Brendel, Armin Hubert Severino
ps01329	Severino
ps01331	Brenner, Bernhard
ps01339	Bronner, Benno
ps01356	Brunne (Geschlecht)
ps01357	Brunner
ps01268	Bohner, Theodor
ps01272	Bollen, Hans
ps01274	Bollinger, Heinrich Karl Philipp
ps01276	Boltschauser, Hans Heinrich
ps01279	Bon, Jean
ps01281	Bonneß, Wilhelm
ps01282	Bonnet, Johann Karl
ps01283	Borcht, Hendrik van der d. Ältere
ps01284	Borcht, Hendrik van der d. Jüngere
ps01286	Borlinghaus, Luitgart
ps01326	Bremer, Hugo
ps01332	Brenner, Carl
ps01333	Bretz, Karl
ps01334	Breuchel, Philipp Jakob
ps01335	Brier, Peter ¬de¬
ps01336	Brill, Rudi
ps01337	Brinckmann, Philipp Hieronymus
ps01338	Brinkmann, Käte
ps01340	Broser, Fritz
ps01341	Brotzler, Georg
ps01343	Bruch, Julie
ps01349	Brudig, Luitgard
ps01350	Brückner, Otto
ps01352	Bruhns, Karin
ps01355	Brunk, Albert
ps01420	Cäsarius von Speyer
ps01421	Cajar, August
ps01428	Cammermeister
ps01431	Cannabich, Christian
ps01432	Cappel, Julius
ps01360	Bruns, Jonny
ps01369	Buchta
ps01372	Bühler, Fritz
ps01376	Bürklin, Bernhard
ps01377	Bürkner, Karl
ps01378	Büscher-Harling, Anita
ps01381	Buhl, Franz Ritter ¬von¬
ps01384	Buhl, Seraphine
ps01385	Bullinger, Heinz
ps01387	Burbach, Lydia
ps01389	Burg, Hugo
ps01390	Borg, Lutz
ps01393	Burghardt, Brigitte
ps01394	Burghardt, Paul
ps01396	Burkhard, Werner
ps01399	Buch, Konrad ¬von¬
ps01402	Butenschön, Johann Friedrich
ps01413	Serban, Delia
ps01492	Cordier, Leopold
ps01493	Coressel, Anneliese
ps01509	Croissant, Philipp Jacob
ps01513	Cronauer, Jakob
ps01520	Culmann, Helmut
ps01433	Carl Christian von Nassau-Weilburg
ps01488	Martius, Hedwig
ps01515	Cürten, Petrus
ps01516	Cullmann, Elisabetha Borisowna
ps01517	Cullmann, Philipp Friedrich
ps01521	Culmann, Karl
ps01454	Christmann, August
ps01456	Christmann, Toni
ps01458	Ciolina, Francesco
ps01463	Claußen, Christina
ps01464	Clemens, Hermann
ps01465	Clemens, Hugo
ps01466	Clemm, August Ritter ¬von¬
ps01468	Clemm, Karl Friedrich
ps01469	Clos, Alexander
ps01470	Clos, Karl
ps01474	Coblitz, Wilhelm Josef
ps01476	Cohrssen, Siegfried
ps01479	Coninxloo, Gillis van
ps01481	Conrad der Rote, Pfalzgraf bei Rhein
ps01497	Courtez
ps01498	Coverdale, Myles
ps01499	Cramer, Jacob
ps01500	Cramer, Heinrich
ps01502	Croissant, Elisabeth
ps01505	Croissant, Herbert
ps01523	Cumart, Neufel A.
ps01524	Czech, Rainer Joshua
ps01525	Dacqué, Edgar Viktor August
ps01526	Dacqué, Friedrich
ps01527	Dacqué, Rudolf
ps01528	Daffner, Franz
ps01529	Dafferner, Franz
ps01535	Dalwin, Bernhard
ps01537	Damian, Willy
ps01539	Danecki, Stefan
ps01540	Daniels, Peter Joseph
ps01543	Darmet, Jean-Marie
ps01549	Daut, Jürgen
ps01555	Dechow, Eberhard
ps01556	Decker, Albert
ps01557	Decker, Bernd
ps01559	Dedreux, Wilhelm Peter
ps01564	Degenhart, Joseph
ps02319	Johann von Speyer
ps02321	John, Walter
ps02322	Jorio, Francesco
ps02323	Joven, Amo
ps02324	Ittel, Sigrid
ps02326	Juda der Fromme
ps02364	Karl / Sverige, konung, XI.
ps02365	Karl August von Nassau-Weilburg
ps02366	Karl August Friedrich
ps02367	Karl Gustav von Pfalz-Kleeburg, König von Schweden
ps03157	Naab, Karl
ps03162	Naffziger, Johannes
ps03168	Nardini, Paul Joseph
ps03194	Neureuther, Ludwig
ps03195	Ney, Carl Eduard
ps03196	Ney, Theodor Julius
ps03197	Nickel, Annerose
ps03199	Nicklas, Ingeborg
ps03208	Nikolaus, Mathias
ps03210	Nikolai, Andreas
ps03213	Nissel, Franz Alexander
ps03214	Nissl, Franz Alexander
ps03219	Noortwyck, Franz Josef
ps01545	Dathenus, Petrus
ps01548	Dauer, Lore
ps01550	Dautermann, Wilhelm
ps01552	Davies, John
ps01553	Day, Friedrich
ps01563	Degen, Willi
ps01566	Deinert, Andreas
ps01568	Demel-Schuhmann, Gertrud
ps01569	Danisius, Petrus
ps01570	Denais, Petrus
ps01571	De Nays, Petrus
ps01574	Denzer, Manfred
ps01575	Derleth, Ludwig
ps01576	Deter, Karl
ps01578	Detzner, Hermann
ps01584	Dexheimer, Johannes
ps01585	Dhom, Emil
ps01586	Dhünen, Felix
ps01587	Sondinger, Franz
ps01588	Dick, Karl
ps01589	Diehl, Karl
ps01591	Diehl, Ludwig
ps01592	Diel, Florentius
ps01593	Dienheim, Eberhard Freiherr ¬von¬
ps01595	Dienheim, Johann Wolfgang ¬von¬
ps01596	Diepold, Franz
ps01597	Dietrich, Klaus-Dieter
ps01599	Dietrich, Carl H.
ps01600	Cadi
ps01601	Dietrich v. Deidesheim
ps01602	Dietrich, Franz
ps01603	Dietrich, Hanns
ps01605	Dietsch, Gustl
ps01607	Dietzsch, Emil
ps01608	Dietzsch, Silvia
ps01611	Dill, Liesbet
ps01616	Dingler, Christian Nikolaus
ps01618	Dingler, Hermann
ps01626	Döderlein, Ludwig H. Ph
ps01628	Dörr, Johannes Maria
ps01631	Dörsam, Walter
ps01640	Drach, Peter (der Mittlere)
ps01646	Drees, Friedrich
ps01659	Duffing, Tine
ps01661	Dusch
ps01665	Ebelmann, Hans
ps01666	Ebelmann, Hans Jakob
ps01667	Eber, Elk
ps01668	Eberhardt, Jean Jaques
ps01670	Eberle, Christoph
ps01674	Eberlein, August Ritter ¬von¬
ps01676	Ebrecht, Walter
ps01615	Dillmann, Ludwig
ps01620	Dirion, Valentin
ps01621	Dister, Rudolf
ps01633	Dolle, Philipp Jakob
ps01634	Dolleschal, Erich
ps01637	Doppler, Hartmut
ps01639	Dosenheimer, Elise
ps01641	Dragobodo
ps01642	Dratt, Hans ¬von¬
ps01643	Trott, Hans ¬von¬
ps01644	Draxel-Fischer, Gisela
ps01645	Fischer, Gisela
ps01651	Rohrbacher, Anna
ps01653	Dreyer, Josef
ps01654	Drum, Jakob
ps01664	Ebel, Heinrich
ps01669	Eberhardt, Max
ps01681	Eckert, Gabriel
ps01682	Eckel, Marianne
ps01687	Egell, Johann Paul
ps01688	Egenberger, Kurt
ps01689	Eglinski, Joerg
ps01690	Ehrenbeck, Hermann
ps01691	Ehrensberger, Julius Emil
ps01692	Ehrhardt, Helmut
ps01693	Ehrhart, Hans
ps01694	Ehrhart, Franz Joseph
ps01695	Ehrler, Josef Georg ¬von¬
ps01697	Eichborn, Peter
ps01698	Eichenbauer, Johann
ps01700	Eicher, Benno
ps01677	Eck, Ingoberg
ps01678	Eckardt, Anton
ps01679	Ecker, Eduard
ps01680	Eckerle, Fritz
ps01686	Egell, Georg Augustin
ps01696	Eichberger, Franz Friedrich
ps01710	Eid, Heinrich
ps01717	Einhard II., Graf v. Katzenellenbogen
ps01719	Eitelmann, Walter
ps01723	Elisabeth Charlotte, Herzogin v. Orléans
ps01724	Elisabeth von Lothringen, Gräfin v. Nassau-Saarbrücken
ps01725	Elisabeth, Kurfürstin von der Pfalz
ps01726	Elisabeth von der Pfalz
ps01727	Eller, Karl
ps01728	Elwert, Johann Caspar Philipp
ps01730	Emanuel, Karl-Heinrich
ps01732	Emericus de Spira, Johannes
ps01733	Emich, Graf von Leinigen
ps01736	Emrich, Jakob Nikolaus
ps01737	Emrich, Julius
ps01738	Emrich, Lothar
ps01739	Emrich, Louis
ps01740	Enders, Erika
ps01741	Enders, Jacob
ps01742	Endres, Ernst
ps01743	Endres, Josef
ps01753	Epping, Günter
ps01755	Erb, Friedrich Otto
ps01756	Erb, Heinrich Wilhelm
ps01757	Erb, Wilhelm Heinrich
ps01773	Esterer, Rudolf
ps02528	König, Kurt
ps03113	Müller, Walter
ps03124	Dietrich, Norbert
ps03130	Franken, Johannes
ps01706	Eichner, Hermann
ps01707	Eichrodt, Ludwig
ps01709	Eicken, Paul in den
ps01711	Eid, Klaus / -
ps01713	Eifler, Gustav Adolf
ps01714	Eilers, Doris
ps01716	Einhard I.
ps01718	Eisenkolb, Jochen
ps01721	Elisabeth Stuart, Kurfürstin von der Pfalz
ps01776	Euler, Johann
ps01782	Faath, Hubert Otto
ps01783	Faber, Georg
ps01785	Faber, Lotty
ps01985	Gerhardinger, Theresia
ps01994	Gienanth, Ulrich Freiherr ¬von¬
ps01995	Gies, Hermann-Julius
ps01997	Gilcher, Julius
ps01998	Gimpel, Adam
ps02003	Giulini, Paul
ps02005	Glaser, Jutta
ps02007	Glaser, Walter
ps02009	Glatt, Jochen
ps02010	Glatz, Erwin
ps02028	Emmerich, Luise
ps02031	Gottfried II
ps02032	Gout, Jean Francois
ps02033	Gräber, Gerhard
ps02035	Gräber, Walter
ps02036	Gräbner, Felix
ps02038	Graeser, Ernst
ps02045	Grassl, Anton
ps02051	Griebler, Leo
ps01731	Emerich, Johann
ps01745	Engel, Edgar
ps01748	Engels, Otto
ps01749	Engerer, Friedrich-Wilhelm Ritter ¬von¬
ps01750	Engesser, Rudolf
ps01751	Engler, Eugen
ps01752	Eppelsheim, Friedrich
ps01754	Erastus, Thomas
ps01758	Erb, Otto
ps01761	Erbelding, Robert
ps01762	Erbeling, Hildegard
ps01763	Erlburg, E. v.
ps01764	Erlenwein-Semmler, Margot
ps01765	Semmler, Margot
ps01766	Ermeltraut, Johann Georg
ps01767	Ernst, Adelheid Siegried
ps01769	Ernst, Karl Matthias
ps01770	Eschmann, Brunhilde
ps01771	Eschmann, Karl
ps01772	Esebeck, Karoline Auguste ¬von¬
ps01775	Euler, Hermann Rudolf
ps01777	Euler, Paul
ps01778	Esselborn, Jakob
ps01788	Faber-Kaltenbach, Kakob
ps01789	Fabricius, Johann Ludwig
ps01790	Fabricius, Johann Seobald
ps01791	Fagius, Paul
ps01792	Fahr, Georg
ps01793	Fahr, Georg
ps01795	Fahrbach, Karl Ludwig
ps01796	Falkener, Erhard
ps01797	Faller, August
ps01799	Fangk, Dorothea
ps01800	Fankan, Justus
ps01801	Fart, Johann
ps01805	Faust, Siegmar
ps01819	Fetsch, Rudolf
ps01821	Feuchtinger, Heinz-Werner
ps01825	Feuerbach, Leonhard
ps01831	Fink, J
ps01833	Finkler, Johanna
ps01836	Mentzer, Johann
ps01844	Fischer, Klaus
ps01850	Flad
ps01852	Fleckenstein, Rolf
ps01855	Flersheim, Philipp II. Freiherr ¬von¬
ps01860	Flott, Gretel
ps01862	Föller, Ulli
ps01863	Foelter, Martin Adam
ps01866	Foltz, Hermann
ps01867	Foltz, Ludwig
ps01873	Foohs, Ludwig
ps01875	Foth, Fritz
ps01876	Foth, Johannes
ps01879	Fraido
ps01880	Flaido
ps01881	Franck, Christoffel
ps01882	Franck, Hansjörg
ps01883	Franck, Jakob
ps01885	Franger, Karl
ps01888	Frankenstein, Rudolf Freiherr ¬von¬
ps01890	Franz, Gisela
ps01895	Frenzel, Manfred
ps01905	Friederich, Georg Friedrich
ps02531	Koester, Christian Philipp
ps02537	Kohl-Larsen, Ludwig
ps02539	Kohl-Weigand, Franz Josef
ps01808	Fay, Hans
ps01810	Fay, Marlys
ps01812	Feldberg-Nenninger, Ilse / -
ps01813	Nenninger, Ilse
ps01815	Feldmüller, Jean
ps01816	Fenneberg, Ferdinand Daniel
ps01817	Ferber, Otto
ps01818	Fersen, Axel ¬von¬
ps01820	Feuchtinger, Heinz
ps01824	Heydenreich, Henriette
ps01827	Feylner, Johann Simon
ps01828	Fickeissen, Karl August
ps01837	Mainzer, Johann
ps01838	Fisch, Martin August
ps01842	Herrmann, Inge
ps01843	Fischer, Karl
ps01846	Fischer-Walter, Claudia
ps01848	Fitz, Georg
ps01849	Fix, Philipp
ps01851	Flad, Franziskana Wilhelmina
ps01853	Brunn, Franziskana Wilhelmina
ps01857	Fliesen, Karl Ludwig Wilhelm
ps01859	Flörsheim
ps01861	Föller, Martin Adam
ps01865	Fohr, Karl Philipp
ps01868	Foltz, Philipp
ps01869	Foltz, Ulrich
ps01871	Fontanesi, Joseph Valentin
ps01872	Fontenet, Pierre Camasse
ps01874	Forler, Franz-Stephan
ps01877	Fraenger, Karl
ps01878	Fraenkel, Leonhard
ps01892	Frech, Helmut
ps01897	Freudenberger, Emil
ps01898	Frey, Andreas
ps01899	Frey, Friedrich Hermann
ps01900	Frey, Inge
ps01901	Frey, Rolf
ps01902	Frick, Hans Hugo
