almaMmsId	rpbId
990173178050206441	929t093415
990012222700206441	929t093416
990174295520206441	929t093419
990166318600206441	929t093421
990175103280206441	929t093424
990175792100206441	929t093425
990154154180206441	929t093427
990154400890206441	929t093432
990171545040206441	929t093433
990171100820206441	929t093434
990175588530206441	929t093435
990175588570206441	929t093436
990134736370206441	929t093464
990175848380206441	929t093475
990175822730206441	929t093478
990175822690206441	929t093479
990175833340206441	929t093499
990159119160206441	929t093501
990134218410206441	929t093505
990113078910206441	929t093508
990175754920206441	929t093512
990175104380206441	929t093529
990175530770206441	929t093531
990175104080206441	929t093533
990174185240206441	929t093534
990121625990206441	929t093535
990036164090206441	929t093536
990175792080206441	929t093538
990175810680206441	929t093541
990175810890206441	929t093542
990173458290206441	929t093545
990175887800206441	929t093555
990023438090206441	929t093557
990175857940206441	929t093559
990175858090206441	929t093560
990175858030206441	929t093562
990175103870206441	929t093564
990175675500206441	929t093567
990175682780206441	929t093568
990175589240206441	929t093569
990175646460206441	929t093570
990175721420206441	929t093572
990175721410206441	929t093573
990175723090206441	929t093574
990175720530206441	929t093575
990175723590206441	929t093576
990175721300206441	929t093577
990175712110206441	929t093603
990159873490206441	929t093616
990165327620206441	929t093629
990175682770206441	929t093632
990175543870206441	929t093652
990175711910206441	929t093653
990175125460206441	929t093655
990175126020206441	929t093656
990175125860206441	929t093658
990175125580206441	929t093659
990175528460206441	929t093660
990175125320206441	929t093662
990055010070206441	929t093663
990175725350206441	929t093664
990175725730206441	929t093665
990175527180206441	929t093666
990175544440206441	929t093667
990175715080206441	929t093668
990175812070206441	929t093669
990175839570206441	929t093672
990170513620206441	929t093673
990175715390206441	929t093674
990175715360206441	929t093675
990175654790206441	929t093677
990175526860206441	929t093679
990175755200206441	929t093682
990175831370206441	929t093683
990055929450206441	929t093684
990174290130206441	929t093690
990174193520206441	929t093691
990174007710206441	929t093692
990171281470206441	929t093693
990172008890206441	929t093694
990166312370206441	929t093695
990174193450206441	929t093722
990175906660206441	929t093761
990175795240206441	929t093789
990175976590206441	929t093810
990174667990206441	929t093811
990175911630206441	929t093812
990175811640206441	929t093813
990175722720206441	929t093821
990175104510206441	929t093822
990175543600206441	929t093823
990176004180206441	929t093825
990171184370206441	929t093826
990176004240206441	929t093827
990173797180206441	929t093828
990175992960206441	929t093829
990175994120206441	929t093830
990174118840206441	929t093831
990175994180206441	929t093832
990174027610206441	929t093834
990173559130206441	929t093835
990156438020206441	929t093839
990173926580206441	929t093840
990175995220206441	929t093845
990175076390206441	929t093866
990175080720206441	929t093867
990175080640206441	929t093868
990175080570206441	929t093869
990175080320206441	929t093870
990175080040206441	929t093871
990175079920206441	929t093872
990175079800206441	929t093873
990175079700206441	929t093874
990175079560206441	929t093875
990175079470206441	929t093876
990175079340206441	929t093877
990175079230206441	929t093878
990175075830206441	929t093879
990175072160206441	929t093885
990175072020206441	929t093886
990175081750206441	929t093895
990175070210206441	929t093896
990175070370206441	929t093897
990175070860206441	929t093898
990175071120206441	929t093900
990175080940206441	929t093903
990175081580206441	929t093904
990175080890206441	929t093906
990175080790206441	929t093908
990175079130206441	929t093911
990175077210206441	929t093915
990175076820206441	929t093918
990175071850206441	929t093924
990175071640206441	929t093925
990175070970206441	929t093926
990109281140206441	929t093967
990171741470206441	929t094007
990171653200206441	929t094008
990175887940206441	929t094009
990175873690206441	929t094010
990175858170206441	929t094012
990154593710206441	929t094013
990154205750206441	929t094014
990175820850206441	929t094015
990175906630206441	929t094016
990175822790206441	929t094017
990175801460206441	929t094018
990175903940206441	929t094019
990175811750206441	929t094020
990175903960206441	929t094021
990175810780206441	929t094022
990154526090206441	929t094023
990175717440206441	929t094024
990175888260206441	929t094025
990175888320206441	929t094027
990054262120206441	929t094041
990055841900206441	929t094042
990056024620206441	929t094043
990175963120206441	929t094044
990175139120206441	929t094045
990175755130206441	929t094046
990175018750206441	929t094054
990175654080206441	929t094056
990175824640206441	929t094057
990175525060206441	929t094059
990174301230206441	929t094060
990175529020206441	929t094062
990175871410206441	929t094063
990175880540206441	929t094065
990175879580206441	929t094066
990175857670206441	929t094067
990175848270206441	929t094068
990175848190206441	929t094070
990033382700206441	929t094088
990176491020206441	929t094090
990176490840206441	929t094091
990176490550206441	929t094092
990163884350206441	929t094093
990173346640206441	929t094094
990027872340206441	929t094095
990157591530206441	929t094096
990118629290206441	929t094097
990147701340206441	929t094098
990174530080206441	929t094099
990175018150206441	929t094100
990176002670206441	929t094101
990175993310206441	929t094102
990175994130206441	929t094103
990175725250206441	929t094104
990175015900206441	929t094105
990175015860206441	929t094106
990171803470206441	929t094108
990176527520206441	929t094115
990176527860206441	929t094117
990025777570206441	929t094120
990165205110206441	929t094126
990175717060206441	929t094127
990175872980206441	929t094155
990175525420206441	929t094156
990175874850206441	929t094158
990175887720206441	929t094159
990176551210206441	929t094160
990139541410206441	929t094161
990176542160206441	929t094162
990176542320206441	929t094163
990176542270206441	929t094164
990176542220206441	929t094165
990176542090206441	929t094166
990176542010206441	929t094168
990176539910206441	929t094169
990176484180206441	929t094191
990173449520206441	929t094196
990173886200206441	929t094205
990121936620206441	929t094206
990173886740206441	929t094207
990173886960206441	929t094208
990176484120206441	929t094209
990171882890206441	929t094210
990176100570206441	929t094212
990175857830206441	929t094213
990176482650206441	929t094214
990175724120206441	929t094215
990175724300206441	929t094216
990175724690206441	929t094217
990175724860206441	929t094218
990176408690206441	929t094219
990175794310206441	929t094220
990175020800206441	929t094221
990176009420206441	929t094222
990176408560206441	929t094223
990176402960206441	929t094224
990176403600206441	929t094225
990176403640206441	929t094226
990176403780206441	929t094227
990176405420206441	929t094228
990176408430206441	929t094229
990176408790206441	929t094230
990176404000206441	929t094231
990175841730206441	929t094232
990159689310206441	929t094253
990116295170206441	929t094254
990165079490206441	929t094262
990164138760206441	929t094265
990176009310206441	929t094266
990171567830206441	929t094294
990176010780206441	929t094300
990175794580206441	929t094304
990175790880206441	929t094313
990175802280206441	929t094326
990176529430206441	929t094327
990176410960206441	929t094328
990176530330206441	929t094329
990176672190206441	929t094334
990176672710206441	929t094335
990176401110206441	929t094378
990117894610206441	929t094381
990175794040206441	929t094382
990056164790206441	929t094390
990159689250206441	929t094391
990176403220206441	929t094393
990154271690206441	929t094394
990056220730206441	929t094395
990166390210206441	929t094397
990176406040206441	929t094400
990176404680206441	929t094401
990176409890206441	929t094402
990176549150206441	929t094403
990176530940206441	929t094404
990176401130206441	929t094405
990176401160206441	929t094406
990176401170206441	929t094407
990176401040206441	929t094408
990176491290206441	929t094409
990176491430206441	929t094410
990176491620206441	929t094411
990176492750206441	929t094412
990134108840206441	929t094463
990167305840206441	929t094476
990176403350206441	929t094477
990175631280206441	929t094480
990174304200206441	929t094481
990175717270206441	929t094482
990176527910206441	929t094484
990144573130206441	929t094485
990176398310206441	929t094486
990176409820206441	929t094487
990176409740206441	929t094488
990176407080206441	929t094490
990160481130206441	929t094491
990176401490206441	929t094492
990176410240206441	929t094493
990176401230206441	929t094494
990176539940206441	929t094495
990176527790206441	929t094496
990176528120206441	929t094497
990176484390206441	929t094498
990176484420206441	929t094499
990176484260206441	929t094500
990176483830206441	929t094501
990176482600206441	929t094502
990176484080206441	929t094503
990170796060206441	929t094516
990170735120206441	929t094517
990167244070206441	929t094518
990175685030206441	929t094519
990176529990206441	929t094526
990159834230206441	929t094590
990136041690206441	929t094591
990157503650206441	929t094593
990176108060206441	929t094594
990175523000206441	929t094598
990175822920206441	929t094599
990175102060206441	929t094600
990176108030206441	929t094607
990175648580206441	929t094651
990073136760206441	929t094652
990172160330206441	929t094664
990174242790206441	929t094666
990175147910206441	929t094679
990176108020206441	929t094692
990176865780206441	929t094693
990176654730206441	929t094729
990176739730206441	929t094730
990176880390206441	929t094731
990174775430206441	929t094732
990175937610206441	929t094734
990176871240206441	929t094735
990176727250206441	929t094736
990176693020206441	929t094737
990176701520206441	929t094738
990176530530206441	929t094739
990176839740206441	929t094742
990176402070206441	929t094743
990176399860206441	929t094744
990175123710206441	929t094745
990176401850206441	929t094746
990176732810206441	929t094752
990056634090206441	929t094834
990133084730206441	929t094837
990054664990206441	929t094838
990175839690206441	929t094863
990176692550206441	929t094864
990176741330206441	929t094865
990175931900206441	929t094866
990175820360206441	929t094867
990176704210206441	929t094868
990175872680206441	929t094869
990175872910206441	929t094870
990175873060206441	929t094871
990176401570206441	929t094900
990176530610206441	929t094901
990176402220206441	929t094902
990176404990206441	929t094903
990176404910206441	929t094904
990176530690206441	929t094905
990176411210206441	929t094906
990176411400206441	929t094907
990176411290206441	929t094908
990176530830206441	929t094909
990176530160206441	929t094922
990172006660206441	929t094926
990176007670206441	929t094927
990174007380206441	929t094932
990026208390206441	929t094933
990176701880206441	929t094934
990174613240206441	929t094935
990005837650206441	929t094937
990175794870206441	929t094938
990175795000206441	929t094939
990174571660206441	929t094940
990175717200206441	929t094942
990175840010206441	929t094943
990170578810206441	929t094946
990177040110206441	929t094947
990174572990206441	929t094959
990171792550206441	929t094968
990177077890206441	929t094970
990176749700206441	929t094971
990176805030206441	929t094974
990176862790206441	929t094975
990160025000206441	929t095004
990176870160206441	929t095031
990174783950206441	929t095032
990176431160206441	929t095103
990175926980206441	929t095168
990175926220206441	929t095170
990177048520206441	929t095175
990176960450206441	929t095176
990175868880206441	929t095178
990176019540206441	929t095181
990176873890206441	929t095184
990176875090206441	929t095185
990175721180206441	929t095186
990176840210206441	929t095199
990173999140206441	929t095200
990176482750206441	929t095202
990156253450206441	929t095209
990177095500206441	929t095210
990045330560206441	929t095213
990175870860206441	929t095225
990177220330206441	929t095226
990177220250206441	929t095227
990133670400206441	929t095228
990125180800206441	929t095229
990140719840206441	929t095231
990174172880206441	929t095232
990176528280206441	929t095233
990165393420206441	929t095234
990171923770206441	929t095235
990176739610206441	929t095236
990139192830206441	929t095237
990175712280206441	929t095238
990175775140206441	929t095239
990176482480206441	929t095240
990176483930206441	929t095241
990176402830206441	929t095243
990125237270206441	929t095244
990175016670206441	929t095245
990171374810206441	929t095247
990154663780206441	929t095250
990175118070206441	929t095289
990174952610206441	929t095290
990174312600206441	929t095291
990176421920206441	929t095292
990175605880206441	929t095293
