gndIdentifier	thumbnail	id	url
124458440	https://commons.wikimedia.org/wiki/Special:FilePath/Raimund%20Stecker%202010.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Raimund%20Stecker%202010.jpg	https://commons.wikimedia.org/wiki/File:Raimund%20Stecker%202010.jpg?uselang=de
11910847X	https://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Hilsdorf%20-%20Rudolf%20Herzog.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Hilsdorf%20-%20Rudolf%20Herzog.jpg	https://commons.wikimedia.org/wiki/File:Jacob%20Hilsdorf%20-%20Rudolf%20Herzog.jpg?uselang=de
1051147603	https://commons.wikimedia.org/wiki/Special:FilePath/Linda%20Breitlauch%20-%20Newsgames%20und%20Nogames.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Linda%20Breitlauch%20-%20Newsgames%20und%20Nogames.jpg	https://commons.wikimedia.org/wiki/File:Linda%20Breitlauch%20-%20Newsgames%20und%20Nogames.jpg?uselang=de
117411949	https://commons.wikimedia.org/wiki/Special:FilePath/Acta%20Horti%20berg.%20-%201905%20-%20tafl.%20126%20-%20Philipp%20Wilhelm%20Wirtgen.png?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Acta%20Horti%20berg.%20-%201905%20-%20tafl.%20126%20-%20Philipp%20Wilhelm%20Wirtgen.png	https://commons.wikimedia.org/wiki/File:Acta%20Horti%20berg.%20-%201905%20-%20tafl.%20126%20-%20Philipp%20Wilhelm%20Wirtgen.png?uselang=de
118671707	https://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Deussen%20%281914%29%20%28cropped%29.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Deussen%20%281914%29%20%28cropped%29.jpg	https://commons.wikimedia.org/wiki/File:Paul%20Deussen%20%281914%29%20%28cropped%29.jpg?uselang=de
118515055	https://commons.wikimedia.org/wiki/Special:FilePath/Clemens%20Brentano.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Clemens%20Brentano.jpg	https://commons.wikimedia.org/wiki/File:Clemens%20Brentano.jpg?uselang=de
118988107	https://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Marius%20von%20Babo.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Marius%20von%20Babo.jpg	https://commons.wikimedia.org/wiki/File:Joseph%20Marius%20von%20Babo.jpg?uselang=de
116131616	https://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Baptist%20Berger2.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Baptist%20Berger2.jpg	https://commons.wikimedia.org/wiki/File:Johann%20Baptist%20Berger2.jpg?uselang=de
1051147727	https://commons.wikimedia.org/wiki/Special:FilePath/Josef%20Cornelius%2C%20Relief%20des%20Koblenzer%20Mundartdichtes%20am%20Stock%20des%20Sch%C3%A4ngelbrunnens.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Josef%20Cornelius%2C%20Relief%20des%20Koblenzer%20Mundartdichtes%20am%20Stock%20des%20Sch%C3%A4ngelbrunnens.jpg	https://commons.wikimedia.org/wiki/File:Josef%20Cornelius%2C%20Relief%20des%20Koblenzer%20Mundartdichtes%20am%20Stock%20des%20Sch%C3%A4ngelbrunnens.jpg?uselang=de
116729228	https://commons.wikimedia.org/wiki/Special:FilePath/Guido%20G%C3%B6rres%20-%20Schriftsteller.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Guido%20G%C3%B6rres%20-%20Schriftsteller.jpg	https://commons.wikimedia.org/wiki/File:Guido%20G%C3%B6rres%20-%20Schriftsteller.jpg?uselang=de
128906561	https://commons.wikimedia.org/wiki/Special:FilePath/Karsten-thormaehlen.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Karsten-thormaehlen.jpg	https://commons.wikimedia.org/wiki/File:Karsten-thormaehlen.jpg?uselang=de
1043841679	https://commons.wikimedia.org/wiki/Special:FilePath/Bernhard%20Nellessen%202006%20fcm.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Bernhard%20Nellessen%202006%20fcm.jpg	https://commons.wikimedia.org/wiki/File:Bernhard%20Nellessen%202006%20fcm.jpg?uselang=de
116516070	https://commons.wikimedia.org/wiki/Special:FilePath/TeNuylSmitEnzinckDullemen.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/TeNuylSmitEnzinckDullemen.jpg	https://commons.wikimedia.org/wiki/File:TeNuylSmitEnzinckDullemen.jpg?uselang=de
119001489	https://commons.wikimedia.org/wiki/Special:FilePath/Seekatz%20MA%202.JPG?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Seekatz%20MA%202.JPG	https://commons.wikimedia.org/wiki/File:Seekatz%20MA%202.JPG?uselang=de
1023341980	https://commons.wikimedia.org/wiki/Special:FilePath/General%20Carl%20Lorenz%20Auler%20und%20Unterschrift.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/General%20Carl%20Lorenz%20Auler%20und%20Unterschrift.jpg	https://commons.wikimedia.org/wiki/File:General%20Carl%20Lorenz%20Auler%20und%20Unterschrift.jpg?uselang=de
118838768	https://commons.wikimedia.org/wiki/Special:FilePath/Henkes%20richard.jpg?width=270	https://commons.wikimedia.org/wiki/Special:FilePath/Henkes%20richard.jpg	https://commons.wikimedia.org/wiki/File:Henkes%20richard.jpg?uselang=de
