rppdId	preferredName	rppdUri
ps01080	Barth, Rolf	https://rppd.lobid.org/ps01080
ps01082	Barz, Adam	https://rppd.lobid.org/ps01082
ps01083	Basinus	https://rppd.lobid.org/ps01083
ps01084	Bastard, Francois Joseph	https://rppd.lobid.org/ps01084
ps01085	Baudy, Friedel	https://rppd.lobid.org/ps01085
ps01088	Bauer, Berta	https://rppd.lobid.org/ps01088
ps01089	Bauer, Elmar	https://rppd.lobid.org/ps01089
ps01090	Bauer, Jakob	https://rppd.lobid.org/ps01090
ps01098	Baumann, F	https://rppd.lobid.org/ps01098
ps01103	Baumbach, Richard	https://rppd.lobid.org/ps01103
ps01106	Baumhauer, Hermann	https://rppd.lobid.org/ps01106
ps01111	Bazlen, Max	https://rppd.lobid.org/ps01111
ps01113	Bach, Josef	https://rppd.lobid.org/ps01113
ps01115	Bechtold, Jean	https://rppd.lobid.org/ps01115
ps01119	Becker, Angela	https://rppd.lobid.org/ps01119
ps01124	Becker, Heinrich	https://rppd.lobid.org/ps01124
ps01126	Becker, Jochen	https://rppd.lobid.org/ps01126
ps01131	Beckerle, Titus	https://rppd.lobid.org/ps01131
ps01132	Beer, Georges Guillaume ¬de¬	https://rppd.lobid.org/ps01132
ps01135	Belk, Franziska	https://rppd.lobid.org/ps01135
ps01143	Schönberg, August	https://rppd.lobid.org/ps01143
ps01151	Benner-Brecht, Els	https://rppd.lobid.org/ps01151
ps01153	Bensch, Gustav	https://rppd.lobid.org/ps01153
ps01154	Bentabole, Pierre Louis	https://rppd.lobid.org/ps01154
ps01155	Bentz, Marie	https://rppd.lobid.org/ps01155
ps01158	Berger, Karl-Heinz	https://rppd.lobid.org/ps01158
ps01161	Bergmann, Richard August	https://rppd.lobid.org/ps01161
ps01162	Bergsträsser, Erwin	https://rppd.lobid.org/ps01162
ps01163	Bergthold, Christian	https://rppd.lobid.org/ps01163
ps01164	Beringer von Eutringen	https://rppd.lobid.org/ps01164
ps01167	Berkhout, Nicolaus	https://rppd.lobid.org/ps01167
ps01174	Bernhardt, Dieter	https://rppd.lobid.org/ps01174
ps01176	Beroldingen, Joseph Ignaz	https://rppd.lobid.org/ps01176
ps01179	Berthold, Ilse	https://rppd.lobid.org/ps01179
ps01180	Berthold, Graf von Bucheik	https://rppd.lobid.org/ps01180
ps01181	Bertram, Antoine (oder Anton)	https://rppd.lobid.org/ps01181
ps01182	Bertram, Anton (auch Antoine)	https://rppd.lobid.org/ps01182
ps01187	Betz, Georg	https://rppd.lobid.org/ps01187
ps01188	de Betze, Jerch	https://rppd.lobid.org/ps01188
ps01189	Beurmann, Pierre Prédérice ¬de¬	https://rppd.lobid.org/ps01189
ps01190	Beutelspacher, Joh. Michael	https://rppd.lobid.org/ps01190
ps01194	Beywegh, Peter Kornel ¬von¬	https://rppd.lobid.org/ps01194
ps01196	Bibiena Galli da, Ferdinando	https://rppd.lobid.org/ps01196
ps01199	Biegel, Johannes	https://rppd.lobid.org/ps01199
ps01200	Bihn, Karl-Heinz	https://rppd.lobid.org/ps01200
ps01201	Bilderbeck, Ludwig Franz Freiherr ¬von¬	https://rppd.lobid.org/ps01201
ps01203	Gerlacher, Diebold	https://rppd.lobid.org/ps01203
ps01204	Binder, Friedrich	https://rppd.lobid.org/ps01204
ps01210	Bischoff, Nicole	https://rppd.lobid.org/ps01210
ps01216	Blättner, Heinrich	https://rppd.lobid.org/ps01216
ps01217	Blaich, Evelyn	https://rppd.lobid.org/ps01217
ps01218	Blanca (Prinzessin) von Plantagnet-Lancaster	https://rppd.lobid.org/ps01218
ps01219	Blanke, Gustav H	https://rppd.lobid.org/ps01219
ps01221	Blankenheim, Walter	https://rppd.lobid.org/ps01221
ps01222	Blasius, Pantaleon	https://rppd.lobid.org/ps01222
ps01225	Blasi, Pantaleon	https://rppd.lobid.org/ps01225
ps01226	Blatter, Thomas	https://rppd.lobid.org/ps01226
ps01229	Blaum, Walter	https://rppd.lobid.org/ps01229
ps01233	Blenk, Jakob	https://rppd.lobid.org/ps01233
ps01236	Blick, Klaus	https://rppd.lobid.org/ps01236
ps01241	Blümlein, Klaus	https://rppd.lobid.org/ps01241
ps01242	Blum, Hans Jakob	https://rppd.lobid.org/ps01242
ps01245	Boas, Horst	https://rppd.lobid.org/ps01245
ps01246	Tragus	https://rppd.lobid.org/ps01246
ps01249	Böckel, Matthias	https://rppd.lobid.org/ps01249
ps01252	Boege, Uta	https://rppd.lobid.org/ps01252
ps01254	Böhn, Georg Friedrich	https://rppd.lobid.org/ps01254
ps01255	Böhmer, Christian	https://rppd.lobid.org/ps01255
ps01257	Boell, Anemone	https://rppd.lobid.org/ps01257
ps01258	Boell, Charles Gustave Albert	https://rppd.lobid.org/ps01258
ps01260	Börner, Fritz	https://rppd.lobid.org/ps01260
ps01262	Börtzler, Friedrich	https://rppd.lobid.org/ps01262
ps01263	Boesel, Carl	https://rppd.lobid.org/ps01263
ps01264	Bösel, Carl	https://rppd.lobid.org/ps01264
ps01268	Bohner, Theodor	https://rppd.lobid.org/ps01268
ps01271	Bold, Alfons	https://rppd.lobid.org/ps01271
ps01272	Bollen, Hans	https://rppd.lobid.org/ps01272
ps01273	Bollenbach, Bernhard	https://rppd.lobid.org/ps01273
ps01274	Bollinger, Heinrich Karl Philipp	https://rppd.lobid.org/ps01274
ps01275	Bollinger, Otto ¬von¬	https://rppd.lobid.org/ps01275
ps01276	Boltschauser, Hans Heinrich	https://rppd.lobid.org/ps01276
ps01277	Bolthauser, Hans Heinrich	https://rppd.lobid.org/ps01277
ps01278	Bolza, Oskar	https://rppd.lobid.org/ps01278
ps01279	Bon, Jean	https://rppd.lobid.org/ps01279
ps01280	Boner, Hans Severin	https://rppd.lobid.org/ps01280
ps01281	Bonneß, Wilhelm	https://rppd.lobid.org/ps01281
ps01282	Bonnet, Johann Karl	https://rppd.lobid.org/ps01282
ps01283	Borcht, Hendrik van der d. Ältere	https://rppd.lobid.org/ps01283
ps01284	Borcht, Hendrik van der d. Jüngere	https://rppd.lobid.org/ps01284
ps01285	Borggrefe, Friedhelm	https://rppd.lobid.org/ps01285
ps01286	Borlinghaus, Luitgart	https://rppd.lobid.org/ps01286
ps01288	Borries, Detlof Graf ¬von¬	https://rppd.lobid.org/ps01288
ps01291	Bossle, Lothar	https://rppd.lobid.org/ps01291
ps01292	Boßlet, Eberhard	https://rppd.lobid.org/ps01292
ps01294	Bourquin, Albert	https://rppd.lobid.org/ps01294
ps01295	Bouschen, Franziska	https://rppd.lobid.org/ps01295
ps01298	Branden, Peter van den	https://rppd.lobid.org/ps01298
ps01299	Brandenburg, Hans-Christian	https://rppd.lobid.org/ps01299
ps01302	Brandt, Heinrich Carl	https://rppd.lobid.org/ps01302
ps01303	Brandusescu-Serban, Delia	https://rppd.lobid.org/ps01303
ps01305	Braster, Ludwig	https://rppd.lobid.org/ps01305
ps01312	Braun, Josef	https://rppd.lobid.org/ps01312
ps01314	Braun, Karl Otto	https://rppd.lobid.org/ps01314
ps01315	Braun, Manfred	https://rppd.lobid.org/ps01315
ps01317	Brauner, August	https://rppd.lobid.org/ps01317
ps01318	Braunsdorf, Gisela	https://rppd.lobid.org/ps01318
ps01322	Bredhauer, Anneliese	https://rppd.lobid.org/ps01322
ps01323	Breinig, Ludwig	https://rppd.lobid.org/ps01323
ps01324	Breith	https://rppd.lobid.org/ps01324
ps01325	Breith, Gustav	https://rppd.lobid.org/ps01325
ps01326	Bremer, Hugo	https://rppd.lobid.org/ps01326
ps01327	Bremer, Werner	https://rppd.lobid.org/ps01327
ps01328	Brendel, Armin Hubert Severino	https://rppd.lobid.org/ps01328
ps01329	Severino	https://rppd.lobid.org/ps01329
ps01331	Brenner, Bernhard	https://rppd.lobid.org/ps01331
ps01332	Brenner, Carl	https://rppd.lobid.org/ps01332
ps01333	Bretz, Karl	https://rppd.lobid.org/ps01333
ps01334	Breuchel, Philipp Jakob	https://rppd.lobid.org/ps01334
ps01335	Brier, Peter ¬de¬	https://rppd.lobid.org/ps01335
ps01336	Brill, Rudi	https://rppd.lobid.org/ps01336
ps01337	Brinckmann, Philipp Hieronymus	https://rppd.lobid.org/ps01337
ps01338	Brinkmann, Käte	https://rppd.lobid.org/ps01338
ps01339	Bronner, Benno	https://rppd.lobid.org/ps01339
ps01340	Broser, Fritz	https://rppd.lobid.org/ps01340
ps01341	Brotzler, Georg	https://rppd.lobid.org/ps01341
ps01343	Bruch, Julie	https://rppd.lobid.org/ps01343
ps01349	Brudig, Luitgard	https://rppd.lobid.org/ps01349
ps01350	Brückner, Otto	https://rppd.lobid.org/ps01350
ps01352	Bruhns, Karin	https://rppd.lobid.org/ps01352
ps01355	Brunk, Albert	https://rppd.lobid.org/ps01355
ps01356	Brunne (Geschlecht)	https://rppd.lobid.org/ps01356
ps01357	Brunner	https://rppd.lobid.org/ps01357
ps01359	Bruno, Graf von Saarbrücken	https://rppd.lobid.org/ps01359
ps01360	Bruns, Jonny	https://rppd.lobid.org/ps01360
ps01363	Bub, Friedrich	https://rppd.lobid.org/ps01363
ps01367	Buchheit, Hans	https://rppd.lobid.org/ps01367
ps01369	Buchta	https://rppd.lobid.org/ps01369
ps01372	Bühler, Fritz	https://rppd.lobid.org/ps01372
ps01376	Bürklin, Bernhard	https://rppd.lobid.org/ps01376
ps01377	Bürkner, Karl	https://rppd.lobid.org/ps01377
ps01378	Büscher-Harling, Anita	https://rppd.lobid.org/ps01378
ps01381	Buhl, Franz Ritter ¬von¬	https://rppd.lobid.org/ps01381
ps01382	Buhl, Franz-Peter	https://rppd.lobid.org/ps01382
ps01384	Buhl, Seraphine	https://rppd.lobid.org/ps01384
ps01385	Bullinger, Heinz	https://rppd.lobid.org/ps01385
ps01387	Burbach, Lydia	https://rppd.lobid.org/ps01387
ps01388	Burckhardt, Johann Philipp	https://rppd.lobid.org/ps01388
ps01389	Burg, Hugo	https://rppd.lobid.org/ps01389
ps01390	Borg, Lutz	https://rppd.lobid.org/ps01390
ps01393	Burghardt, Brigitte	https://rppd.lobid.org/ps01393
ps01394	Burghardt, Paul	https://rppd.lobid.org/ps01394
ps01395	Burkhard, Käthe	https://rppd.lobid.org/ps01395
ps01396	Burkhard, Werner	https://rppd.lobid.org/ps01396
ps01399	Buch, Konrad ¬von¬	https://rppd.lobid.org/ps01399
ps01402	Butenschön, Johann Friedrich	https://rppd.lobid.org/ps01402
ps01403	Butters, Immanuel Friedrich	https://rppd.lobid.org/ps01403
ps01406	Balther	https://rppd.lobid.org/ps01406
ps01409	Frick, Hedwig	https://rppd.lobid.org/ps01409
ps01410	Brecht, Els	https://rppd.lobid.org/ps01410
ps01411	Glatzel, Barbara	https://rppd.lobid.org/ps01411
ps01412	Hubera, Ann	https://rppd.lobid.org/ps01412
ps01413	Serban, Delia	https://rppd.lobid.org/ps01413
ps01414	Rühling, Max	https://rppd.lobid.org/ps01414
ps01415	Ross, Karin	https://rppd.lobid.org/ps01415
ps01416	Harling, Anita	https://rppd.lobid.org/ps01416
ps01417	Kämpfe, Hermann Franz Joseph Hubertus Maria	https://rppd.lobid.org/ps01417
ps01418	Breidenborn, Edle ¬von¬	https://rppd.lobid.org/ps01418
ps01419	Caesarius von Heisterbach	https://rppd.lobid.org/ps01419
ps01420	Cäsarius von Speyer	https://rppd.lobid.org/ps01420
ps01421	Cajar, August	https://rppd.lobid.org/ps01421
ps01422	Caire, Carl	https://rppd.lobid.org/ps01422
ps01423	Calles-Storr, Ilse	https://rppd.lobid.org/ps01423
ps01424	Storr, Ilse	https://rppd.lobid.org/ps01424
ps01427	Camerarius, Philipp	https://rppd.lobid.org/ps01427
ps01428	Cammermeister	https://rppd.lobid.org/ps01428
