rppdId	preferredName
pk00232	Kroell, Erika
pk00233	Lambrecht, Nanny
pk00235	Stein, Gottfried
pk00236	Nies, Ludwig
pk00237	Radermacher, Johannes
pk00238	Dorn, Johannes Wilhelm
pk00240	Beckenkamp, Kaspar Benedikt
pk00241	Peres-Lethmate, Edith
pk00242	Halfmann, Michael
pk00243	Wolf, Joseph
pk00244	Rörig, Reinhold
pk00245	Firmenich, Brigitta
pk00246	Utsch, Rudolf
pk00247	Achenbach, Klaus
pk00248	Alt, Cäcilie
pk00249	Becher, Wolfgang
pk00251	Alexander, Elisabeth
pk00252	Ehm-Marks, Frank-Kirk
pk00253	Faust, Armin Peter
pk00254	Heidelmann, Gerda C.
pk00255	Bernhardt, Bettina
pk00256	Wagner, David
pk00257	Gintaut, Renate
pk00258	Becker, Mathilde
pk00259	Höfele, Andreas
pk00260	Fuchs, Rudolf
pk00261	Burkart, Rolf A.
pk00262	Kreutzberg, Josef
pk00263	Bausinger, Günter
pk00264	Heins, Rüdiger
pk00265	Hohl, Horst
pk00266	Engbarth, Gerhard
pk00267	André, Günter
pk00268	Berkensträter, Bert
pk00269	Geier, Monika
pk00270	Arneke, Ralph
pk00271	Glöckner, Walter
pk00272	Gratias, Carmen Silvia
pk00273	Gratias, Gideon
pk00274	Großmann, Margarete
pk00275	Grunwald, Tilli
pk00276	Link, Karl-Heinz
pk00278	Kling, Thomas
pk00279	Heimfarth, Ernst
pk00280	Diehl, Marcel
pk00281	Franz, Liesel
pk00282	Geisen, Werner
pk00283	Gerloff, Susi
pk00284	Johannes, Wolfram
pk00285	Jokostra, Peter
pk00286	Jung, Alfred
pk00287	Karsch, Elfriede
pk00288	Keil, Ernst-Edmund
pk00290	Hetmann, Frederik
pk00291	Klein, Ferdi
pk00292	Klein, Heinrich
pk00293	Klose, Werner
pk00294	Kloster-Holl, Hedwig
pk00295	Klumb, Fritz
pk00296	Köbler-Stählin, Helga
pk00297	Korbus, Jens
pk00298	Korzilius, Sven
pk00299	Krebs-Fell, Gertrud
pk00300	Krüger, Jost
pk00301	Kutscher, Franz A.
pk00302	Ley, Alois
pk00303	Löwenstein, Gerhard
pk00304	Mahlow, Verena
pk00305	Mathern, Wilhelmine
pk00306	McLachlan, Gunhild
pk00307	Nordmann, Ulrich
pk00308	Meyer, Hans-Georg
pk00309	Petry, Paula
pk00310	Podlech, Elmar
pk00311	Polke, Johannes
pk00312	Pose, Hans-Joachim
pk00313	Priebe-Petry, Hildegard
pk00314	Pütz, Albert
pk00315	Reppmann, Ursula
pk00316	Ricinski-Marienfeld, Francisca
pk00317	Roth, Hermann Josef
pk00318	Sauer, Lothar
pk00319	Schmelmer, Helmut
pk00320	Schneider, Thomas
pk00321	Schrupp, Karin-Anna
pk00322	Schüßler-Eid, Ernst
pk00323	Sinclair, Anne
pk00324	Sinn, Ingeborg
pk00325	Fromberg, Regina ¬von¬
pk00327	Theobald, Günther
pk00328	Thiemt, Hans Georg
